,Title,URL
0,The Legend of Zelda: Breath of the Wild,/game/switch/the-legend-of-zelda-breath-of-the-wild
1,Super Mario Odyssey,/game/switch/super-mario-odyssey
2,Divinity: Original Sin II - Definitive Edition,/game/switch/divinity-original-sin-ii---definitive-edition
3,Undertale,/game/switch/undertale
4,Super Smash Bros. Ultimate,/game/switch/super-smash-bros-ultimate
5,Celeste,/game/switch/celeste
6,Bayonetta 2,/game/switch/bayonetta-2
7,Mario Kart 8 Deluxe,/game/switch/mario-kart-8-deluxe
8,INSIDE,/game/switch/inside
9,Retro City Rampage DX,/game/switch/retro-city-rampage-dx
10,Sonic Mania Plus,/game/switch/sonic-mania-plus
11,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,/game/switch/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition
12,SteamWorld Heist: Ultimate Edition,/game/switch/steamworld-heist-ultimate-edition
13,Shovel Knight: Treasure Trove,/game/switch/shovel-knight-treasure-trove
14,Bastion,/game/switch/bastion
15,Hollow Knight,/game/switch/hollow-knight
16,Bayonetta + Bayonetta 2,/game/switch/bayonetta-+-bayonetta-2
17,Ori and the Blind Forest: Definitive Edition,/game/switch/ori-and-the-blind-forest-definitive-edition
18,Dead Cells,/game/switch/dead-cells
19,Into the Breach,/game/switch/into-the-breach
20,Fire Emblem: Three Houses,/game/switch/fire-emblem-three-houses
21,Okami HD,/game/switch/okami-hd
22,Mark of the Ninja: Remastered,/game/switch/mark-of-the-ninja-remastered
23,TowerFall,/game/switch/towerfall
24,Nuclear Throne,/game/switch/nuclear-throne
25,FAR: Lone Sails,/game/switch/far-lone-sails
26,Dream Daddy: A Dad Dating Simulator,/game/switch/dream-daddy-a-dad-dating-simulator
27,Hyper Light Drifter,/game/switch/hyper-light-drifter
28,What Remains of Edith Finch,/game/switch/what-remains-of-edith-finch
29,Gone Home,/game/switch/gone-home
30,Super Mario Maker 2,/game/switch/super-mario-maker-2
31,Downwell,/game/switch/downwell
32,Diablo III: Eternal Collection,/game/switch/diablo-iii-eternal-collection
33,SteamWorld Dig 2,/game/switch/steamworld-dig-2
34,Ikaruga,/game/switch/ikaruga
35,Cave Story +,/game/switch/cave-story-+
36,Deemo,/game/switch/deemo
37,Dragon Ball FighterZ,/game/switch/dragon-ball-fighterz
